frame_zero_based,ti_ms,split,uniform_rel,dcf_rel,center_rel,outer_rel
0,63,train,5.74898481e-01,4.81252640e-01,5.89722395e-01,9.69294548e-01
1,263,train,1.79796696e-01,3.19589317e-01,1.73992380e-01,9.61392879e-01
2,463,train,3.03416461e-01,3.60535920e-01,3.00481647e-01,9.65393543e-01
3,663,train,3.19623619e-01,3.98351103e-01,3.17499638e-01,9.75878596e-01
4,863,train,3.37594986e-01,3.96140993e-01,3.36409748e-01,9.82794404e-01
5,1063,train,3.92049551e-01,4.23329413e-01,3.90765578e-01,9.75774646e-01
6,1263,train,3.75689805e-01,4.31381315e-01,3.75209302e-01,9.78724062e-01
7,1463,train,4.21322763e-01,4.34145331e-01,4.21397626e-01,9.74273741e-01
8,1663,train,4.22868758e-01,4.59895730e-01,4.22883242e-01,9.78990674e-01
9,1863,train,4.03191686e-01,4.56229448e-01,4.02703166e-01,9.84147727e-01
10,2063,train,4.44836050e-01,4.56636876e-01,4.46604192e-01,9.71470654e-01
11,2263,train,4.26506668e-01,4.65638667e-01,4.26332623e-01,9.73313928e-01
12,2463,train,4.24988329e-01,4.59780425e-01,4.24399853e-01,9.76636291e-01
13,2663,train,4.48135525e-01,4.71383899e-01,4.48363870e-01,9.71511960e-01
14,2863,train,4.15279239e-01,4.63756680e-01,4.14643794e-01,9.72728252e-01
15,3063,train,4.63806868e-01,4.69904184e-01,4.64679837e-01,9.65372622e-01
16,3263,train,4.45860982e-01,4.81579423e-01,4.46645111e-01,9.62868989e-01
17,3463,train,4.24543709e-01,4.70063448e-01,4.24396515e-01,9.79498267e-01
18,3663,train,4.60645139e-01,4.74051893e-01,4.61973518e-01,9.63258684e-01
19,3863,train,4.41235930e-01,4.75574762e-01,4.41574484e-01,9.65219080e-01
20,4063,train,4.50122505e-01,4.75331277e-01,4.49854881e-01,9.69616950e-01
21,4263,train,4.59613472e-01,4.87314761e-01,4.60342944e-01,9.74925399e-01
22,4463,train,4.17154193e-01,4.69533205e-01,4.16594177e-01,9.73698020e-01
23,4663,train,4.75125730e-01,4.82712775e-01,4.76837993e-01,9.70108986e-01
24,4863,train,4.46861625e-01,4.84105796e-01,4.47143972e-01,9.64825213e-01
25,5063,train,4.28656578e-01,4.74211067e-01,4.28080231e-01,9.77196395e-01
26,5263,train,4.57955390e-01,4.76090759e-01,4.58658099e-01,9.66983378e-01
27,5463,train,4.28338230e-01,4.74151284e-01,4.28095490e-01,9.76750493e-01
28,5663,train,4.70069289e-01,4.77066219e-01,4.70820993e-01,9.64975536e-01
29,5863,train,4.61084336e-01,4.90153015e-01,4.61947322e-01,9.63640988e-01
30,6063,train,4.29925501e-01,4.78901565e-01,4.29468870e-01,9.76193666e-01
31,6263,train,4.80610102e-01,4.90063310e-01,4.82473403e-01,9.69810784e-01
32,6463,train,4.51937437e-01,4.87400204e-01,4.52277035e-01,9.68225121e-01
33,6663,train,4.45663273e-01,4.76094395e-01,4.45204049e-01,9.74092603e-01
34,6863,train,4.53623503e-01,4.74144608e-01,4.54431474e-01,9.68720615e-01
35,7063,train,4.29510087e-01,4.77746904e-01,4.29036885e-01,9.75828588e-01
36,7263,train,4.73652691e-01,4.79601294e-01,4.74512219e-01,9.65710163e-01
37,7463,train,4.53318059e-01,4.88381118e-01,4.54099238e-01,9.59843636e-01
38,7663,train,4.30368423e-01,4.76957381e-01,4.29851264e-01,9.76554394e-01
39,7863,train,4.58847970e-01,4.77572232e-01,4.59676415e-01,9.70678329e-01
40,8063,train,4.33023125e-01,4.78584439e-01,4.32710409e-01,9.69199657e-01
41,8263,train,4.61757571e-01,4.77058738e-01,4.61900830e-01,9.68331099e-01
42,8463,train,4.54285890e-01,4.81707066e-01,4.54824805e-01,9.73921537e-01
43,8663,train,4.34908479e-01,4.86195147e-01,4.34584528e-01,9.74017024e-01
44,8863,train,4.73162174e-01,4.85136420e-01,4.74986702e-01,9.61845338e-01
45,9063,train,4.53085542e-01,4.86530572e-01,4.53445494e-01,9.63078737e-01
46,9263,train,4.37816739e-01,4.72868979e-01,4.37163115e-01,9.70397234e-01
47,9463,train,4.64096397e-01,4.80325580e-01,4.64969128e-01,9.67540324e-01
48,9663,train,4.37583059e-01,4.83701080e-01,4.37326074e-01,9.69403982e-01
49,9863,train,4.94226277e-01,4.91088182e-01,4.95944709e-01,9.66661394e-01
