epoch,total,dc,tv,stv,lowrank,lr,time_s,dc_uniform_rel,dc_dcf_rel,dc_center_rel,dc_outer_rel,eps_frac,gpu_peak_gb,dc_train_uniform_rel,dc_holdout_uniform_rel,dc_train_dcf_rel,dc_holdout_dcf_rel
1,6.84253984e+04,6.84253984e+04,1.57214686e-01,2.16627166e-01,4.88160091e-04,1.00000000e-03,4.7472,9.99994040e-01,9.99997437e-01,9.99993801e-01,9.99999881e-01,1.000000,3.634,9.99993980e-01,nan,9.99997556e-01,nan
2,1.86012500e+04,1.86012480e+04,1.09214567e-01,1.11527748e-01,2.04789545e-02,1.00000000e-03,10.5214,9.96038496e-01,9.98194396e-01,9.95923519e-01,9.99996841e-01,0.974718,4.308,9.96038437e-01,nan,9.98194516e-01,nan
3,7.15103516e+03,7.15103271e+03,1.12349682e-01,8.34250748e-02,5.08972667e-02,1.00000000e-03,14.5345,9.88152146e-01,9.93848622e-01,9.87825394e-01,9.99999046e-01,0.949239,4.308,9.88152087e-01,nan,9.93848741e-01,nan
4,3.82644775e+03,3.82644507e+03,1.30569741e-01,8.03761333e-02,9.18737128e-02,1.00000000e-03,18.3787,9.78451371e-01,9.87859488e-01,9.77892280e-01,1.00000346e+00,0.928606,4.308,9.78451312e-01,nan,9.87859547e-01,nan
5,2.35919775e+03,2.35919507e+03,1.35973394e-01,7.55761787e-02,1.43730536e-01,1.00000000e-03,22.1910,9.67415273e-01,9.80296373e-01,9.66630518e-01,9.99998450e-01,0.909189,4.308,9.67415214e-01,nan,9.80296493e-01,nan
6,1.62236304e+03,1.62236023e+03,1.39304325e-01,7.26790577e-02,2.08354071e-01,1.00000000e-03,26.0216,9.55153048e-01,9.71102476e-01,9.54167604e-01,9.99982417e-01,0.887788,4.308,9.55152988e-01,nan,9.71102595e-01,nan
7,1.18894519e+03,1.18894238e+03,1.40073344e-01,6.99560940e-02,2.88444787e-01,1.00000000e-03,29.9211,9.41257060e-01,9.59973812e-01,9.40102458e-01,9.99962389e-01,0.863610,4.308,9.41257000e-01,nan,9.59973931e-01,nan
8,8.88425659e+02,8.88422791e+02,1.41513914e-01,6.84552714e-02,3.86299431e-01,1.00000000e-03,33.9060,9.24814999e-01,9.46413279e-01,9.23515201e-01,9.99925315e-01,0.837008,4.308,9.24814939e-01,nan,9.46413398e-01,nan
9,6.64540100e+02,6.64537109e+02,1.43724769e-01,6.79620653e-02,5.03041327e-01,1.00000000e-03,36.2593,9.05064404e-01,9.30036545e-01,9.03634310e-01,9.99866962e-01,0.808275,4.308,9.05064344e-01,nan,9.30036604e-01,nan
10,4.96130188e+02,4.96127136e+02,1.46183431e-01,6.80866390e-02,6.40111685e-01,1.00000000e-03,39.9398,8.81587684e-01,9.10607696e-01,8.80037010e-01,9.99779046e-01,0.778156,4.308,8.81587625e-01,nan,9.10607755e-01,nan
11,3.70218384e+02,3.70215271e+02,1.48716882e-01,6.86920658e-02,7.98681259e-01,1.00000000e-03,43.4562,8.54486704e-01,8.88141692e-01,8.52826238e-01,9.99666572e-01,0.747880,4.308,8.54486644e-01,nan,8.88141751e-01,nan
12,2.80774506e+02,2.80771332e+02,1.49105221e-01,6.86598718e-02,9.79485452e-01,1.00000000e-03,47.2904,8.24468911e-01,8.62924814e-01,8.22723448e-01,9.99512315e-01,0.718576,4.308,8.24468851e-01,nan,8.62924933e-01,nan
13,2.18280975e+02,2.18277740e+02,1.49367109e-01,6.88730404e-02,1.18295658e+00,1.00000000e-03,51.0957,7.92253613e-01,8.35230768e-01,7.90461302e-01,9.99274850e-01,0.690619,4.308,7.92253554e-01,nan,8.35230827e-01,nan
14,1.73131454e+02,1.73128204e+02,1.49142459e-01,6.90472052e-02,1.40823007e+00,1.00000000e-03,54.8094,7.59134650e-01,8.05630505e-01,7.57358372e-01,9.98943388e-01,0.663992,4.308,7.59134591e-01,nan,8.05630624e-01,nan
15,1.39733276e+02,1.39729950e+02,1.49206504e-01,6.94706962e-02,1.65449369e+00,1.00000000e-03,58.4860,7.26089656e-01,7.74604619e-01,7.24407852e-01,9.98494327e-01,0.638668,4.308,7.26089597e-01,nan,7.74604678e-01,nan
16,1.13555946e+02,1.13552589e+02,1.48752272e-01,6.97240308e-02,1.92072213e+00,5.00000000e-04,62.0413,6.93802297e-01,7.42600858e-01,6.92297101e-01,9.97897387e-01,0.614675,4.308,6.93802238e-01,nan,7.42600977e-01,nan
17,9.39724121e+01,9.39689941e+01,1.48729324e-01,7.02360570e-02,2.20592475e+00,5.00000000e-04,65.7252,6.62510633e-01,7.09976435e-01,6.61252677e-01,9.97092485e-01,0.591751,4.326,6.62510633e-01,nan,7.09976494e-01,nan
18,8.59539719e+01,8.59505310e+01,1.48418039e-01,7.03710169e-02,2.35337710e+00,5.00000000e-04,69.4400,6.47518396e-01,6.93718672e-01,6.46405995e-01,9.96576011e-01,0.580745,4.326,6.47518337e-01,nan,6.93718731e-01,nan
19,7.86652145e+01,7.86617508e+01,1.48182899e-01,7.05703646e-02,2.50050616e+00,5.00000000e-04,73.1773,6.33220971e-01,6.77810729e-01,6.32262766e-01,9.95958269e-01,0.570223,4.326,6.33220911e-01,nan,6.77810788e-01,nan
20,7.26904831e+01,7.26870041e+01,1.47720307e-01,7.06877112e-02,2.64755607e+00,5.00000000e-04,76.9623,6.19444966e-01,6.62190020e-01,6.18645072e-01,9.95227396e-01,0.560079,4.326,6.19444966e-01,nan,6.62190080e-01,nan
21,6.71825104e+01,6.71790085e+01,1.47202462e-01,7.08064064e-02,2.79466057e+00,5.00000000e-04,80.7212,6.05790496e-01,6.46704495e-01,6.05142057e-01,9.94356811e-01,0.550236,4.326,6.05790436e-01,nan,6.46704555e-01,nan
22,6.21410217e+01,6.21375046e+01,1.46498561e-01,7.08590373e-02,2.94134331e+00,5.00000000e-04,84.3365,5.91934621e-01,6.31267011e-01,5.91420472e-01,9.93353486e-01,0.540595,4.326,5.91934562e-01,nan,6.31267071e-01,nan
23,5.77618446e+01,5.77583122e+01,1.45753965e-01,7.09089041e-02,3.08819818e+00,5.00000000e-04,87.9589,5.77705622e-01,6.15787327e-01,5.77305317e-01,9.92210627e-01,0.531288,4.326,5.77705562e-01,nan,6.15787387e-01,nan
24,5.40204468e+01,5.40169067e+01,1.44639015e-01,7.07871914e-02,3.23489499e+00,5.00000000e-04,90.2844,5.63004732e-01,6.00258529e-01,5.62693119e-01,9.90907967e-01,0.522233,4.326,5.63004673e-01,nan,6.00258589e-01,nan
25,5.02581482e+01,5.02546043e+01,1.43369600e-01,7.05894306e-02,3.38094449e+00,5.00000000e-04,94.1046,5.48037946e-01,5.84797740e-01,5.47794402e-01,9.89440322e-01,0.513499,4.326,5.48037887e-01,nan,5.84797800e-01,nan
26,4.65610504e+01,4.65575027e+01,1.42126918e-01,7.04053044e-02,3.52668571e+00,5.00000000e-04,97.9557,5.32902241e-01,5.69426894e-01,5.32709837e-01,9.87802863e-01,0.504946,4.326,5.32902241e-01,nan,5.69426954e-01,nan
27,4.35055046e+01,4.35019493e+01,1.41019166e-01,7.02901408e-02,3.67264128e+00,5.00000000e-04,101.6701,5.17691553e-01,5.54163218e-01,5.17536342e-01,9.85991895e-01,0.496580,4.326,5.17691553e-01,nan,5.54163277e-01,nan
28,4.07537537e+01,4.07501907e+01,1.39914349e-01,7.01793432e-02,3.81868887e+00,5.00000000e-04,105.3676,5.02716422e-01,5.39142072e-01,5.02592444e-01,9.83978093e-01,0.488330,4.326,5.02716422e-01,nan,5.39142132e-01,nan
29,3.83367157e+01,3.83331413e+01,1.39094904e-01,7.02131614e-02,3.96476579e+00,5.00000000e-04,109.0262,4.88313347e-01,5.24499834e-01,4.88223612e-01,9.81757879e-01,0.480261,4.326,4.88313317e-01,nan,5.24499893e-01,nan
30,3.61852837e+01,3.61816940e+01,1.38309926e-01,7.02656135e-02,4.11126900e+00,5.00000000e-04,112.5837,4.74458665e-01,5.10208547e-01,4.74407107e-01,9.79321241e-01,0.472317,4.326,4.74458635e-01,nan,5.10208607e-01,nan
31,3.41429977e+01,3.41393929e+01,1.37621388e-01,7.03672171e-02,4.25780201e+00,5.00000000e-04,114.6044,4.61221367e-01,4.96320099e-01,4.61212754e-01,9.76667821e-01,0.464542,4.326,4.61221337e-01,nan,4.96320158e-01,nan
32,3.23045578e+01,3.23009338e+01,1.37143627e-01,7.05874786e-02,4.40436268e+00,2.50000000e-04,118.0910,4.48731989e-01,4.82900381e-01,4.48775560e-01,9.73771214e-01,0.456778,4.326,4.48731959e-01,nan,4.82900411e-01,nan
