basis,complex_NRMSE,magnitude_NRMSE,gradient_NRMSE,highpass_NRMSE,shell_0.00_0.25,shell_0.25_0.50,shell_0.50_0.75,shell_0.75_1.00,image_gate_pass,rank,family,dict_energy_retained
"physical(T1 200-5000, Mz -1..0) K=5",0.05902275155123932,0.04323943421558049,0.1641657589331589,0.19360258476955014,0.04322077951244223,0.1715312350695592,0.2567326602013713,0.3408246412749939,False,5,"physical(T1 200-5000, Mz -1..0)",0.9999955975222943
"physical(T1 200-5000, Mz -1..0) K=6",0.05545464878070971,0.03920090370510418,0.15885114809295098,0.1877712656386048,0.0391672812842909,0.1662522193847184,0.25227551432803075,0.3361857285350102,False,6,"physical(T1 200-5000, Mz -1..0)",0.999999723975488
"physical(T1 200-5000, Mz -1..0) K=7",0.053655453828253825,0.03713304182034396,0.15550447526701497,0.18421126091956797,0.03712477975856147,0.16349709103259433,0.2494923005550499,0.33259824214584205,False,7,"physical(T1 200-5000, Mz -1..0)",0.9999999844880971
"physical(T1 200-5000, Mz -1..0) K=8",0.05247810609941276,0.035876467606005095,0.15269106544644984,0.18111046355156857,0.03597804382247468,0.1609752949178145,0.24642348796572794,0.3286073845988821,False,8,"physical(T1 200-5000, Mz -1..0)",0.999999999217976
"physical(T1 200-5000, Mz -1..+1) K=5",0.058996920642072515,0.04320630402128589,0.16413183836025627,0.19356841585243,0.04318985100490031,0.17149896226896091,0.2567206894313842,0.3408179759367437,False,5,"physical(T1 200-5000, Mz -1..+1)",0.9999975204578019
"physical(T1 200-5000, Mz -1..+1) K=6",0.05544833339811722,0.03919367952554194,0.15884515351826206,0.1877648644899147,0.03915899899696833,0.1662470217221506,0.25227237064137575,0.33618420443687874,False,6,"physical(T1 200-5000, Mz -1..+1)",0.9999998444033388
"physical(T1 200-5000, Mz -1..+1) K=7",0.05365097868955999,0.03712738432840848,0.1554965383280956,0.1842034705875615,0.03711938047033864,0.16349062812851953,0.24948933158367242,0.332596068341151,False,7,"physical(T1 200-5000, Mz -1..+1)",0.9999999912563446
"physical(T1 200-5000, Mz -1..+1) K=8",0.052477179844699746,0.03587515843076899,0.1526896356852278,0.18110912728360207,0.035976778486798144,0.16097431177121804,0.24642420512957894,0.32860900509775776,False,8,"physical(T1 200-5000, Mz -1..+1)",0.9999999995590442
"physical(T1 100-8000, Mz -1..0) K=5",0.05775698636816379,0.041490578936294965,0.1644804393071532,0.19394233701250413,0.04130262129005601,0.17200981565327922,0.2565904254059424,0.34071070781734397,False,5,"physical(T1 100-8000, Mz -1..0)",0.9999893260924317
"physical(T1 100-8000, Mz -1..0) K=6",0.055024192595388904,0.038608238684567336,0.15960945973677762,0.18850970627207425,0.03835731651123052,0.16712870447078534,0.2522511224323769,0.33615634843965714,False,6,"physical(T1 100-8000, Mz -1..0)",0.9999989979058372
"physical(T1 100-8000, Mz -1..0) K=7",0.05325047645265619,0.03658217067961487,0.1551577833648748,0.18386868887153557,0.0365523081265894,0.16332671909953048,0.24925082649421543,0.3323975889188068,False,7,"physical(T1 100-8000, Mz -1..0)",0.9999999129269389
"physical(T1 100-8000, Mz -1..0) K=8",0.05242068922389621,0.035819876671745285,0.15267577878052663,0.18103935535158305,0.03587606623147537,0.16104910843680717,0.24640135646321717,0.3287459673318196,False,8,"physical(T1 100-8000, Mz -1..0)",0.9999999930208061
data-derived SVD K=5,0.04286488174411046,0.03157149192176478,0.13606408560445402,0.1620960943417514,0.027675547634938884,0.13328687691554525,0.22444533570882594,0.31271800314442594,False,5,data-derived SVD,
data-derived SVD K=6,0.039753603373801044,0.02881217038888648,0.1278950099571588,0.1532170959020668,0.02492195562408956,0.1246639336286717,0.21610096225714764,0.3045486405599976,False,6,data-derived SVD,
data-derived SVD K=7,0.03711375473744434,0.026629061727252625,0.12102429963088498,0.1455496730661338,0.02281467783202024,0.11631201130524699,0.208477863213563,0.29762863910742554,True,7,data-derived SVD,
data-derived SVD K=8,0.03472027210318731,0.024612872823069537,0.1145846378687777,0.13835567689442663,0.02084816492199852,0.10896015349548237,0.20130559330826378,0.29070924275465765,True,8,data-derived SVD,
physical K=5 + 1 residual modes,0.05164600089990584,0.03937298136169561,0.14909106027937158,0.17633232751319688,0.037308797326498014,0.1495039435850067,0.23748125855168367,0.3230947011885501,False,6,hybrid physical+residual,
physical K=5 + 2 residual modes,0.04493945135272582,0.03438726378265878,0.13609307816556115,0.16145196169611964,0.031068302025335694,0.13355595436719364,0.22121531548868112,0.308180110052551,False,7,hybrid physical+residual,
physical K=5 + 3 residual modes,0.040504621154991156,0.03015417719593118,0.12879621095068627,0.15314731699527595,0.026181290134276593,0.12562039958676152,0.21258563418681928,0.29917580821580253,False,8,hybrid physical+residual,
physical K=5 + 4 residual modes,0.03740498759090646,0.027605276640460974,0.12100184989519765,0.14453718846267538,0.023505938296880313,0.11695738077095669,0.2034501393334354,0.290131933033046,True,9,hybrid physical+residual,
physical K=5 + 5 residual modes,0.03477111005582478,0.02511447349280428,0.11378369856975488,0.1366263499635683,0.02131075684760697,0.10920099509927662,0.19530243746548548,0.2825535490565935,True,10,hybrid physical+residual,
physical K=5 + 6 residual modes,0.03226880385886621,0.022654790686600607,0.10732415634843906,0.1297601139497171,0.01895712657382789,0.10218062378172219,0.18968185093396472,0.27678064160541843,True,11,hybrid physical+residual,
